File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
3729.txt,49,612,974,12.49,1.592,8.061
3732.txt,47,621,973,13.213,1.567,8.052
3738.txt,43,933,1676,21.698,1.796,14.069
3740.txt,76,757,1216,9.961,1.606,7.249
3812.txt,35,766,1273,21.886,1.662,12.556
3815.txt,62,607,919,9.79,1.514,6.093
3826.txt,26,595,1037,22.885,1.743,13.901
3847.txt,48,518,830,10.792,1.602,7.526
3852.txt,45,434,621,9.644,1.431,5.056
3855.txt,56,617,937,11.018,1.519,6.627
3863.txt,52,738,1192,14.192,1.615,9.004
3877.txt,66,869,1515,13.167,1.743,10.117
3880.txt,66,701,1133,10.621,1.616,7.624
3890.txt,40,721,1165,18.025,1.616,10.506
3933.txt,61,679,988,11.131,1.455,5.921
3952.txt,52,656,1042,12.615,1.588,8.073
3961.txt,68,852,1421,12.529,1.668,8.977
3965.txt,69,755,1235,10.942,1.636,7.979
3974.txt,60,745,1186,12.417,1.592,8.037
4006.txt,36,630,1073,17.5,1.703,11.332
4011.txt,49,916,1527,18.694,1.667,11.372
4031.txt,35,679,1087,19.4,1.601,10.866
4049.txt,56,700,1098,12.5,1.569,7.794
4052.txt,55,821,1390,14.927,1.693,10.21
